Covesion Ltd.
MSHG2600-1.0-xx Phase matching data v1.0
Disclaimer: Please note these are calculated values only and actual values may vary.

Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm,,Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm
139.48,2315.7146477699,2423.8085651398,2605.6359863281,,,,90.52,3258.7365347147,3100.0927603245,2913.9455986023,2752.3327636719,
140.16,2316.1169791222,2424.3950748444,2607.4157714844,,,,89.84,3259.190171361,3100.6611096859,2914.9003791809,2756.0827636719,
140.84,2316.5282511711,2424.9815845489,2609.2248535156,,,,89.16,3259.6359866858,3101.224244833,2915.8458900452,2759.5690917969,
141.52,2316.9305825233,2425.5752468109,2611.0778808594,,,,88.48,3260.0818020105,3101.7925941944,2916.7914009094,2762.8356933594,
142.2,2317.3418545723,2426.1689090729,2612.9602050781,,,,87.8,3260.5276173353,3102.3557293415,2917.7276420593,2765.9255981445,
142.88,2317.7441859245,2426.7625713348,2614.8937988281,,,,87.12,3260.9734326601,3102.9136502743,2918.6638832092,2768.864440918,
143.56,2318.1554579735,2427.3562335968,2616.8649291992,,,,86.44,3261.4192479849,3103.4767854214,2919.5908546448,2771.6659545898,
144.24,2318.5667300224,2427.9570484161,2618.8809204102,,,,85.76,3261.8650633097,3104.0347063541,2920.5178260803,2774.3576049805,
144.92,2318.9780020714,2428.5578632355,2620.9463500977,,,,85.08,3262.303057313,3104.5926272869,2921.4355278015,2776.9393920898,
145.6,2319.3892741203,2429.1586780548,2623.0612182617,,,,84.4,3262.7488726378,3105.1453340054,2922.3532295227,2779.4332885742,
146.28,2319.8005461693,2429.7666454315,2625.2365112305,,,,83.72,3263.1868666411,3105.7032549381,2923.2616615295,2781.8447875977,
146.96,2320.2207589149,2430.3746128082,2627.4722290039,,,,83.04,3263.6248606443,3106.2559616566,2924.160823822,2784.1793823242,
147.64,2320.6320309639,2430.9825801849,2629.7738647461,,,,82.36,3264.0628546476,3106.8034541607,2925.0599861145,2786.442565918,
148.32,2321.0522437096,2431.5905475616,2632.1469116211,,,,81.68,3264.5008486509,3107.3561608791,2925.959148407,2788.641204834,
149,2321.4635157585,2432.2056674957,2634.596862793,,,,81,3264.9388426542,3107.9036533833,2926.8490409851,2790.7835388184,
149.68,2321.8837285042,2432.8207874298,2637.1347045898,,,,80.32,3265.3768366575,3108.4511458874,2927.7296638489,2792.8764343262,
150.36,2322.3039412498,2433.4430599213,2639.7700500488,,,,79.64,3265.8070093393,3108.9986383915,2928.6102867126,2794.9116516113,
151.04,2322.7241539955,2434.0581798553,2642.505645752,,,,78.96,3266.2450033426,3109.5409166813,2929.4816398621,2796.905670166,
151.72,2323.1443667412,2434.6804523468,2645.3648376465,,,,78.28,3266.6751760244,3110.0831949711,2930.3529930115,2798.8502502441,
152.4,2323.5645794868,2435.3098773956,2648.3558654785,,,,77.6,3267.1053487063,3110.6254732609,2931.2243461609,2800.7536315918,
153.08,2323.9937329292,2435.9321498871,2651.5116882324,,,,76.92,3267.5433427095,3111.1625373364,2932.0864295959,2802.6240539551,
153.76,2324.4139456749,2436.5615749359,2654.8405456543,,,,76.24,3267.9735153914,3111.6996014118,2932.948513031,2804.4532775879,
154.44,2324.8430991173,2437.1981525421,2658.3836364746,,,,75.56,3268.3958667517,3112.2366654873,2933.8013267517,2806.2495422363,
155.12,2325.2633118629,2437.8275775909,2662.198638916,,,,74.88,3268.8260394335,3112.7737295628,2934.6448707581,2808.0128479004,
155.8,2325.6924653053,2438.4641551971,2666.3349914551,,,,74.2,3269.2562121153,3113.3055794239,2935.4976844788,2809.7431945801,
156.48,2326.1216187477,2439.1078853607,2670.9080505371,,,,73.52,3269.6785634756,3113.8426434994,2936.3319587708,2811.4405822754,
157.16,2326.5507721901,2439.7444629669,2676.0743713379,,,,72.84,3270.1087361574,3114.3692791462,2937.1755027771,2813.1132507324,
157.84,2326.9799256325,2440.3881931305,2682.1388244629,,,,72.16,3270.5310875177,3114.9011290073,2938.0005073547,2814.7611999512,
158.52,2327.4180197716,2441.0319232941,2689.8429870605,,,,71.48,3270.9534388781,3115.4277646542,2938.8347816467,2816.3761901855,
159.2,2327.847173214,2441.682806015,2702.6279830933,,,,70.8,3271.3757902384,3115.954400301,2939.6597862244,2817.9747009277,
159.88,2328.2763266563,2442.333688736,,,,,70.12,3271.7981415987,3116.4810359478,2940.4755210876,2819.5402526855,
160.56,2328.7144207954,2442.9845714569,,,,,69.44,3272.220492959,3117.0076715946,2941.3005256653,2821.0893249512,
161.24,2329.1525149345,2443.6426067352,,,,,68.76,3272.6428443193,3117.5290930271,2942.1069908142,2822.6188278198,
161.92,2329.5906090736,2444.3006420135,,,,,68.08,3273.0651956797,3118.0505144596,2942.9227256775,2824.1205215454,
162.6,2330.0287032127,2444.9586772919,,,,,67.4,3273.4797257185,3118.5719358921,2943.7291908264,2825.6036758423,
163.28,2330.4667973518,2445.6238651276,,,,,66.72,3273.9020770788,3119.0881431103,2944.526386261,2827.0682907105,
163.96,2330.9048914909,2446.2890529633,,,,,66.04,3274.3166071177,3119.6043503284,2945.3235816956,2828.5143661499,
164.64,2331.34298563,2446.9542407989,,,,,65.36,3274.7311371565,3120.1205575466,2946.1207771301,2829.9419021606,
165.32,2331.7900204658,2447.626581192,,,,,64.68,3275.1456671953,3120.6367647648,2946.9087028503,2831.3508987427,
166,2332.2281146049,2448.2989215851,,,,,64,3275.5601972342,3121.1477577686,2947.6966285706,2832.7475357056,
166.68,2332.6751494408,2448.9784145355,,,,,63.32,3275.974727273,3121.6587507725,2948.4833955765,2834.1256332397,
167.36,2333.1221842766,2449.657907486,,,,,62.64,3276.3814359903,3122.1697437763,2949.2620515823,2835.4851913452,
168.04,2333.5692191124,2450.3374004364,,,,,61.96,3276.7959660292,3122.6807367802,2950.0407075882,2836.826210022,
168.72,2334.0162539482,2451.0240459442,,,,,61.28,3277.210496068,3123.1865155697,2950.8124113083,2838.1548690796,
169.4,2334.463288784,2451.710691452,,,,,60.6,3277.6172047854,3123.6922943592,2951.5841150284,2839.4711685181,
170.08,2334.9103236198,2452.3973369598,,,,,59.92,3278.0239135027,3124.1980731487,2952.3488664627,2840.7751083374,
170.76,2335.3662991524,2453.091135025,,,,,59.24,3278.43062222,3124.7038519383,2953.1066656113,2842.060508728,
171.44,2335.8133339882,2453.7849330902,,,,,58.56,3278.8373309374,3125.2044165134,2953.8714170456,2843.3335494995,
